Rank,PlayerName,Nationality,Position,Squad,Age,BirthYear,MinutesDividedBy90,Goals,Shots,ShotsOnTarget,ShotsOnTargetPercentage,ShotsPer90Minutes,ShotsOnTargetPer90Minutes,GoalsPerShot,GoalsPerShotOnTarget,AverageDistanceFromGoalOnShot,FreeKicks,PenalityKicks,PenalityKicksAttempted,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedGoalsPerShot,DifferenceBetweenExpectedAndRealGoals,NonPenalityGoalsMinusExpectedNonPenalityGoals
393,Saúl Ñíguez\Saul-Niguez,es ESP,MFDF,Atlético Madrid,25,1994,22.6,2,33,10,30.3,1.46,0.44,0.06,0.20,17.1,0,0,1,2.7,1.8,0.05,-0.7,+0.2
394,Nino\Nino,es ESP,FWMF,Elche,40,1980,3.2,0,3,1,33.3,0.95,0.32,0.00,0.00,13.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3
395,Fernando Niño\Fernando-Nino,es ESP,FW,Villarreal,19,2000,6.6,3,14,8,57.1,2.12,1.21,0.21,0.38,9.3,0,0,0,4.3,4.3,0.31,-1.3,-1.3
396,Nolito\Nolito,es ESP,MFFW,Celta Vigo,33,1986,28.9,7,55,25,45.5,1.91,0.87,0.13,0.28,17.4,3,0,0,6.5,6.5,0.12,+0.5,+0.5
397,Unai Núñez\Unai-Nunez,es ESP,DF,Athletic Club,23,1997,23.4,1,13,5,38.5,0.55,0.21,0.08,0.20,10.2,0,0,0,1.8,1.8,0.14,-0.8,-0.8
398,Kelechi Nwakali\Kelechi-Nwakali,ng NGA,MFFW,Huesca,22,1998,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
399,Allan Nyom\Allan-Nyom,cm CMR,MFDF,Getafe,32,1988,25.8,0,10,2,20.0,0.39,0.08,0.00,0.00,13.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6
400,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,27,1993,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
401,Lucas Ocampos\Lucas-Ocampos,ar ARG,FW,Sevilla,26,1994,29.2,5,64,15,23.4,2.19,0.51,0.02,0.07,16.4,0,4,5,10.6,6.8,0.11,-5.6,-5.8
402,Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Real Madrid,24,1995,9.2,2,3,2,66.7,0.33,0.22,0.67,1.00,9.4,0,0,0,0.7,0.7,0.24,+1.3,+1.3
403,Shinji Okazaki\Shinji-Okazaki,jp JPN,FW,Huesca,34,1986,12.5,1,19,4,21.1,1.52,0.32,0.05,0.25,13.8,0,0,0,2.0,2.0,0.10,-1.0,-1.0
404,Lucas Olaza\Lucas-Olaza,uy URU,DF,Celta Vigo,26,1994,17.9,0,11,2,18.2,0.61,0.11,0.00,0.00,26.9,1,0,0,0.4,0.4,0.04,-0.4,-0.4
405,Lucas Olaza\Lucas-Olaza,uy URU,DF,Valladolid,26,1994,14.0,1,11,3,27.3,0.79,0.21,0.09,0.33,20.8,1,0,0,0.6,0.6,0.05,+0.4,+0.4
406,Christian Oliva\Christian-Oliva,uy URU,MF,Valencia,24,1996,2.2,0,2,1,50.0,0.91,0.45,0.00,0.00,31.5,0,0,0,0.0,0.0,0.02,0.0,0.0
407,Kiko Olivas\Kiko-Olivas,es ESP,DFMF,Valladolid,31,1988,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
408,Paulo Oliveira\Paulo-Oliveira,pt POR,DF,Eibar,28,1992,29.3,0,13,3,23.1,0.44,0.10,0.00,0.00,11.1,0,0,0,0.6,0.6,0.04,-0.6,-0.6
409,Mathías Olivera\Mathias-Olivera,uy URU,DF,Getafe,22,1997,29.0,0,18,5,27.8,0.62,0.17,0.00,0.00,12.8,0,0,0,2.4,2.4,0.13,-2.4,-2.4
410,Javier Ontiveros\Javier-Ontiveros,es ESP,FWMF,Huesca,22,1997,10.2,2,35,9,25.7,3.43,0.88,0.03,0.11,24.8,4,1,1,1.9,1.1,0.03,+0.1,-0.1
411,Fabián Orellana\Fabian-Orellana,cl CHI,MFFW,Valladolid,34,1986,23.8,6,24,12,50.0,1.01,0.51,0.08,0.17,18.6,1,4,4,5.9,2.9,0.12,+0.1,-0.9
412,Mikel Oyarzabal\Mikel-Oyarzabal,es ESP,FWMF,Real Sociedad,23,1997,26.8,11,58,22,37.9,2.17,0.82,0.09,0.23,19.4,5,6,7,10.8,5.5,0.10,+0.2,-0.5
413,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,28,1992,37.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
414,Jon Pacheco\Jon-Pacheco,es ESP,DF,Real Sociedad,19,2001,0.4,0,1,0,0.0,2.81,0.00,0.00,,10.8,0,0,0,0.0,0.0,0.02,0.0,0.0
415,Helibelton Palacios\Helibelton-Palacios,co COL,DF,Elche,27,1993,8.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
416,Ante Palaversa\Ante-Palaversa,hr CRO,MFFW,Getafe,20,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
417,Daniel Parejo\Daniel-Parejo,es ESP,MF,Villarreal,31,1989,34.6,3,26,9,34.6,0.75,0.26,0.12,0.33,23.0,6,0,0,1.4,1.4,0.05,+1.6,+1.6
418,Thomas Partey\Thomas-Partey,gh GHA,MF,Atlético Madrid,27,1993,2.2,0,5,0,0.0,2.25,0.00,0.00,,35.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
419,Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Valencia,29,1990,30.2,4,14,6,42.9,0.46,0.20,0.29,0.67,14.8,0,0,0,0.9,0.9,0.07,+3.1,+3.1
420,Alfonso Pedraza\Alfonso-Pedraza,es ESP,DF,Villarreal,24,1996,23.3,1,22,8,36.4,0.95,0.34,0.05,0.13,17.8,0,0,0,1.8,1.8,0.09,-0.8,-0.8
421,Pedri\Pedri,es ESP,MF,Barcelona,17,2002,26.8,3,25,7,28.0,0.93,0.26,0.12,0.43,15.7,0,0,0,3.9,3.8,0.15,-0.9,-0.8
422,Facundo Pellistri\Facundo-Pellistri,uy URU,MFFW,Alavés,18,2001,6.0,0,5,2,40.0,0.83,0.33,0.00,0.00,20.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3
423,Rubén Peña\Ruben-Pena,es ESP,DF,Villarreal,29,1991,12.4,1,6,2,33.3,0.48,0.16,0.17,0.50,15.6,0,0,0,0.5,0.5,0.09,+0.5,+0.5
424,Pepe\Pepe,es ESP,DF,Granada,20,2000,2.8,0,1,0,0.0,0.36,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0
425,Alberto Perea\Alberto-Perea,es ESP,MF,Cádiz,29,1990,17.2,2,29,6,20.7,1.68,0.35,0.07,0.33,21.0,4,0,0,1.3,1.3,0.05,+0.7,+0.7
426,Iñigo Pérez\Inigo-Perez,es ESP,MFDF,Osasuna,32,1988,15.0,0,9,2,22.2,0.60,0.13,0.00,0.00,25.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4
427,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,24,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
428,Kike Pérez\Kike-Perez,es ESP,MF,Valladolid,23,1997,12.9,0,16,4,25.0,1.24,0.31,0.00,0.00,21.2,1,0,0,1.0,1.0,0.06,-1.0,-1.0
429,Lucas Pérez\Lucas-Perez,es ESP,FW,Alavés,31,1988,19.5,4,28,10,35.7,1.43,0.51,0.04,0.10,18.1,3,3,4,6.5,3.5,0.13,-2.5,-2.5
430,Luis Pérez\Luis-Perez,es ESP,DF,Valladolid,25,1995,14.4,0,2,0,0.0,0.14,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
431,Nehuén Pérez\Nehuen-Perez,ar ARG,DF,Granada,20,2000,8.2,0,5,1,20.0,0.61,0.12,0.00,0.00,8.1,0,0,0,0.7,0.7,0.14,-0.7,-0.7
432,Pablo Piatti\Pablo-Piatti,ar ARG,MFFW,Elche,31,1989,4.0,0,4,3,75.0,1.00,0.75,0.00,0.00,21.2,0,0,0,0.5,0.5,0.12,-0.5,-0.5
433,Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Valencia,27,1992,0.7,0,1,0,0.0,1.34,0.00,0.00,,58.5,0,0,0,0.0,0.0,0.01,0.0,0.0
434,Tomás Pina Isla\Tomas-Pina-Isla,es ESP,MF,Alavés,32,1987,28.6,1,9,1,11.1,0.31,0.03,0.11,1.00,17.3,0,0,0,0.5,0.5,0.06,+0.5,+0.5
435,Yeremi Pino\Yeremi-Pino,es ESP,FWMF,Villarreal,17,2002,8.9,3,14,5,35.7,1.58,0.56,0.21,0.60,14.8,0,0,0,1.5,1.5,0.10,+1.5,+1.5
436,Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,33,1987,16.5,0,8,2,25.0,0.49,0.12,0.00,0.00,9.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6
437,Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,Barcelona,30,1990,7.0,0,16,3,18.8,2.30,0.43,0.00,0.00,21.0,2,0,0,1.2,1.2,0.08,-1.2,-1.2
438,Óscar Plano\Oscar-Plano,es ESP,MFFW,Valladolid,29,1991,28.0,5,41,10,24.4,1.47,0.36,0.12,0.50,16.4,0,0,0,4.3,4.3,0.11,+0.7,+0.7
439,Dani Plomer\Dani-Plomer,es ESP,FW,Granada,21,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
440,Jorge Pombo\Jorge-Pombo,es ESP,FWMF,Cádiz,26,1994,5.8,1,14,4,28.6,2.41,0.69,0.07,0.25,20.7,0,0,0,1.3,1.3,0.09,-0.3,-0.3
441,Pere Pons\Pere-Pons,es ESP,MF,Alavés,27,1993,13.2,2,9,4,44.4,0.68,0.30,0.22,0.50,18.1,0,0,0,0.8,0.8,0.09,+1.2,+1.2
442,Francisco Portillo\Francisco-Portillo,es ESP,MFFW,Getafe,30,1990,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
443,Portu\Portu,es ESP,FWMF,Real Sociedad,28,1992,24.3,8,32,12,37.5,1.32,0.49,0.25,0.67,13.0,0,0,0,5.5,5.5,0.17,+2.5,+2.5
444,Sergio Postigo\Sergio-Postigo,es ESP,DF,Levante,31,1988,18.0,0,1,0,0.0,0.06,0.00,0.00,,11.2,0,0,0,0.0,0.0,0.04,0.0,0.0
445,Darío Poveda\Dario-Poveda,es ESP,FW,Getafe,23,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
446,Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,es ESP,DFMF,Eibar,21,1999,24.3,0,11,1,9.1,0.45,0.04,0.00,0.00,22.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3
447,Antonio Puertas\Antonio-Puertas,es ESP,FWMF,Granada,28,1992,24.1,3,28,11,39.3,1.16,0.46,0.11,0.27,15.1,0,0,0,4.1,4.1,0.15,-1.1,-1.1
448,Riqui Puig\Riqui-Puig,es ESP,MF,Barcelona,20,1999,3.2,1,4,2,50.0,1.23,0.62,0.25,0.50,17.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7
449,Jorge Pulido\Jorge-Pulido,es ESP,DF,Huesca,29,1991,32.1,1,17,2,11.8,0.53,0.06,0.06,0.50,13.2,0,0,0,2.6,2.6,0.17,-1.6,-1.6
450,Domingos Quina\Domingos-Quina,pt POR,MF,Granada,20,1999,3.8,2,8,3,37.5,2.11,0.79,0.25,0.67,21.3,0,0,0,0.3,0.3,0.04,+1.7,+1.7
451,Quini\Quini,es ESP,DF,Granada,30,1989,13.2,1,8,3,37.5,0.60,0.23,0.13,0.33,25.2,0,0,0,0.3,0.3,0.04,+0.7,+0.7
452,Quique\Quique,es ESP,FWMF,Eibar,30,1990,1.9,0,4,1,25.0,2.16,0.54,0.00,0.00,14.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
453,Dani Raba\Dani-Raba,es ESP,MF,Villarreal,24,1995,1.7,0,6,1,16.7,3.60,0.60,0.00,0.00,17.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4
454,Uroš Račić\Uros-Racic,rs SRB,MF,Valencia,22,1998,24.3,1,35,10,28.6,1.44,0.41,0.03,0.10,22.2,0,0,0,1.6,1.6,0.04,-0.6,-0.6
455,Nemanja Radoja\Nemanja-Radoja,rs SRB,MF,Levante,27,1993,12.5,0,7,0,0.0,0.56,0.00,0.00,,22.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
456,Ivan Rakitić\Ivan-Rakitic,hr CRO,MF,Sevilla,32,1988,24.8,4,38,8,21.1,1.53,0.32,0.05,0.25,19.2,2,2,2,5.2,3.7,0.10,-1.2,-1.7
457,Jonás Ramalho\Jonas-Ramalho,es ESP,DF,Osasuna,27,1993,3.4,0,2,1,50.0,0.59,0.30,0.00,0.00,14.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
458,Sandro Ramírez\Sandro-Ramirez,es ESP,FWMF,Huesca,25,1995,14.3,5,30,19,63.3,2.10,1.33,0.17,0.26,19.4,4,0,0,2.4,2.4,0.08,+2.6,+2.6
459,Sergio Ramos\Sergio-Ramos,es ESP,DF,Real Madrid,34,1986,14.2,2,15,4,26.7,1.06,0.28,0.00,0.00,12.1,3,2,2,3.8,2.3,0.15,-1.8,-2.3
460,Recio\Recio,es ESP,MF,Eibar,29,1991,8.2,1,13,2,15.4,1.59,0.25,0.00,0.00,21.2,1,1,1,1.2,0.5,0.04,-0.2,-0.5
461,Francisco Reis Ferreira\Francisco-Reis-Ferreira,pt POR,DF,Valencia,23,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
462,Karim Rekik\Karim-Rekik,nl NED,DF,Sevilla,25,1994,7.3,0,3,0,0.0,0.41,0.00,0.00,,8.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
463,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,25,1995,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
464,Oriol Rey\Oriol-Rey,es ESP,MF,Valladolid,22,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
465,Ricard\Ricard,es ESP,DF,Atlético Madrid,20,2000,0.3,0,1,0,0.0,3.00,0.00,0.00,,19.2,0,0,0,0.0,0.0,0.02,0.0,0.0
466,Mikel Rico\Mikel-Rico,es ESP,MF,Huesca,35,1984,24.3,1,20,6,30.0,0.82,0.25,0.05,0.17,15.1,0,0,0,2.3,2.3,0.12,-1.3,-1.3
467,Emiliano Rigoni\Emiliano-Rigoni,ar ARG,MFFW,Elche,27,1993,12.7,1,17,7,41.2,1.34,0.55,0.06,0.14,20.3,4,0,0,2.6,2.6,0.15,-1.6,-1.6
468,Luis Rioja\Luis-Rioja,es ESP,MF,Alavés,26,1993,23.2,4,25,10,40.0,1.08,0.43,0.16,0.40,17.7,0,0,0,3.5,3.5,0.14,+0.5,+0.5
469,Rober\Rober,es ESP,DFMF,Levante,25,1995,15.8,0,6,0,0.0,0.38,0.00,0.00,,15.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
470,Roberto\Roberto,es ESP,GK,Valladolid,34,1986,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
471,Sergi Roberto\Sergi-Roberto,es ESP,DF,Barcelona,28,1992,10.5,1,5,1,20.0,0.48,0.10,0.20,1.00,17.2,0,0,0,0.5,0.5,0.11,+0.5,+0.5
472,Joel Robles\Joel-Robles,es ESP,GK,Betis,30,1990,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
473,Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,29,1991,15.6,0,36,8,22.2,2.31,0.51,0.00,0.00,24.4,0,0,0,1.7,1.7,0.05,-1.7,-1.7
474,Rodrigo\Rodrigo,es ESP,FWMF,Betis,20,2000,6.0,0,4,0,0.0,0.67,0.00,0.00,,22.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
475,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Eibar,26,1994,12.2,1,9,4,44.4,0.74,0.33,0.11,0.25,22.1,0,0,0,0.6,0.6,0.07,+0.4,+0.4
476,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Sevilla,22,1998,5.7,0,10,2,20.0,1.76,0.35,0.00,0.00,23.7,1,0,0,0.5,0.5,0.05,-0.5,-0.5
477,Ángel Rodríguez\Angel-Rodriguez,es ESP,FWMF,Getafe,33,1987,15.3,5,35,12,34.3,2.29,0.79,0.11,0.33,16.2,0,1,2,5.5,4.0,0.11,-0.5,0.0
478,Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,26,1994,31.8,1,30,9,30.0,0.94,0.28,0.03,0.11,19.0,0,0,0,1.7,1.7,0.06,-0.7,-0.7
479,Miguel Rodríguez\Miguel-Rodriguez,es ESP,FWMF,Celta Vigo,17,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
480,Víctor Rodríguez\Victor-Rodriguez,es ESP,MF,Elche,31,1989,4.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
481,Rodrygo\Rodrygo,br BRA,FW,Real Madrid,19,2001,10.9,1,26,5,19.2,2.38,0.46,0.04,0.20,15.8,1,0,0,2.5,2.5,0.10,-1.5,-1.5
482,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,33,1987,13.7,1,13,2,15.4,0.95,0.15,0.08,0.50,25.0,0,0,0,0.5,0.5,0.04,+0.5,+0.5
483,Rubén\Ruben,es ESP,GKMF,Osasuna,36,1984,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
484,Waldo Rubio\Waldo-Rubio,es ESP,FW,Valladolid,24,1995,4.2,1,8,1,12.5,1.92,0.24,0.00,0.00,23.1,0,1,1,1.0,0.3,0.03,0.0,-0.3
485,Aitor Ruibal\Aitor-Ruibal,es ESP,FWMF,Betis,24,1996,17.7,2,34,13,38.2,1.92,0.73,0.06,0.15,17.3,0,0,0,2.6,2.6,0.08,-0.6,-0.6
486,Isma Ruiz\Isma-Ruiz,es ESP,MF,Granada,19,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
487,Víctor Ruiz\Victor-Ruiz,es ESP,DF,Betis,31,1989,24.0,2,4,4,100.0,0.17,0.17,0.50,0.50,10.5,0,0,0,1.2,1.2,0.29,+0.8,+0.8
488,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Villarreal,28,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
489,Modibo Sagnan\Modibo-Sagnan,ml MLI,DF,Real Sociedad,21,1999,6.9,0,5,1,20.0,0.72,0.14,0.00,0.00,24.1,1,0,0,0.6,0.6,0.12,-0.6,-0.6
490,Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,19,2001,5.0,1,8,4,50.0,1.59,0.79,0.13,0.25,16.0,0,0,0,1.1,1.1,0.14,-0.1,-0.1
491,Salvi\Salvi,es ESP,MFFW,Cádiz,29,1991,21.5,2,16,5,31.3,0.74,0.23,0.13,0.40,18.2,0,0,0,1.9,1.9,0.12,+0.1,+0.1
492,Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,23,1997,16.2,0,3,0,0.0,0.18,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
493,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Betis,24,1996,10.4,3,24,12,50.0,2.32,1.16,0.13,0.25,11.6,0,0,0,4.3,4.3,0.18,-1.3,-1.3
494,Oihan Sancet\Oihan-Sancet,es ESP,FWMF,Athletic Club,20,2000,11.5,2,18,6,33.3,1.57,0.52,0.11,0.33,12.1,0,0,0,2.9,2.9,0.16,-0.9,-0.9
495,Juan Sánchez Miño\Juan-Sanchez-Mino,ar ARG,DFMF,Elche,30,1990,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
496,Germán Sánchez\German-Sanchez,es ESP,DF,Granada,33,1986,29.3,3,14,5,35.7,0.48,0.17,0.21,0.60,8.4,0,0,0,1.9,1.9,0.14,+1.1,+1.1
497,Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,23,1997,10.2,0,3,0,0.0,0.29,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
498,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,19,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
499,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Osasuna,19,2000,10.8,0,3,1,33.3,0.28,0.09,0.00,0.00,18.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
500,Oier Sanjurjo\Oier-Sanjurjo,es ESP,MF,Osasuna,34,1986,23.2,0,15,4,26.7,0.65,0.17,0.00,0.00,14.9,0,0,0,0.9,0.9,0.06,-0.9,-0.9
501,Ivan Šaponjić\Ivan-Saponjic,rs SRB,FW,Cádiz,22,1997,4.3,1,10,5,50.0,2.32,1.16,0.00,0.00,10.6,0,1,1,1.7,0.9,0.09,-0.7,-0.9
502,Stefan Savić\Stefan-Savic,me MNE,DF,Atlético Madrid,29,1991,32.8,1,7,2,28.6,0.21,0.06,0.14,0.50,5.0,0,0,0,0.9,0.9,0.13,+0.1,+0.1
503,Jaime Seoane\Jaime-Seoane,es ESP,MF,Huesca,23,1997,22.9,1,24,9,37.5,1.05,0.39,0.04,0.11,20.8,0,0,0,1.3,1.3,0.05,-0.3,-0.3
504,Edgar Sevikyan\Edgar-Sevikyan,ru RUS,MF,Levante,18,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
505,Sidnei\Sidnei,br BRA,DF,Betis,30,1989,7.7,0,1,0,0.0,0.13,0.00,0.00,,5.1,0,0,0,0.2,0.2,0.17,-0.2,-0.2
506,David Silva\David-Silva,es ESP,MF,Real Sociedad,34,1986,15.5,2,20,3,15.0,1.29,0.19,0.10,0.67,13.4,2,0,0,2.9,2.9,0.14,-0.9,-0.9
507,Gastón Silva\Gaston-Silva,uy URU,DF,Huesca,26,1994,6.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
508,Rui Silva\Rui-Silva,pt POR,GK,Granada,26,1994,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
509,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,23,1997,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
510,Dimitris Siovas\Dimitris-Siovas,gr GRE,DF,Huesca,31,1988,34.1,2,29,8,27.6,0.85,0.23,0.07,0.25,10.5,0,0,0,1.9,1.9,0.07,+0.1,+0.1
511,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,23,1996,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
512,Rafa Soares\Rafa-Soares,pt POR,DF,Eibar,25,1995,12.6,0,2,0,0.0,0.16,0.00,0.00,,19.9,0,0,0,0.0,0.0,0.02,0.0,0.0
513,Rubén Sobrino\Ruben-Sobrino,es ESP,MFFW,Valencia,28,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
514,Rubén Sobrino\Ruben-Sobrino,es ESP,FWMF,Cádiz,28,1992,12.4,1,9,5,55.6,0.73,0.40,0.11,0.20,12.1,0,0,0,2.4,2.4,0.26,-1.4,-1.4
515,Augusto Solari\Augusto-Solari,ar ARG,MF,Celta Vigo,28,1992,5.4,2,5,3,60.0,0.93,0.56,0.40,0.67,23.5,0,0,0,1.3,1.3,0.25,+0.7,+0.7
516,Roberto Soldado\Roberto-Soldado,es ESP,FW,Granada,35,1985,16.0,9,29,10,34.5,1.82,0.63,0.24,0.70,15.9,2,2,2,5.8,4.4,0.15,+3.2,+2.6
517,Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,23,1997,30.4,11,29,9,31.0,0.95,0.30,0.14,0.44,25.8,8,7,9,9.5,2.7,0.09,+1.5,+1.3
518,Son\Son,es ESP,DF,Levante,26,1994,12.3,0,8,5,62.5,0.65,0.41,0.00,0.00,18.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5
519,David Soria\David-Soria,es ESP,GK,Getafe,27,1993,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
520,Alberto Soro\Alberto-Soro,es ESP,FWMF,Granada,21,1999,4.4,1,2,1,50.0,0.46,0.23,0.50,1.00,9.9,0,0,0,0.8,0.8,0.39,+0.2,+0.2
521,Hugo Sotelo\Hugo-Sotelo,es ESP,MF,Celta Vigo,16,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
522,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,32,1988,27.0,1,10,2,20.0,0.37,0.07,0.10,0.50,32.1,2,0,0,0.3,0.3,0.03,+0.7,+0.7
523,Denis Suárez\Denis-Suarez,es ESP,MF,Celta Vigo,26,1994,31.7,0,16,3,18.8,0.50,0.09,0.00,0.00,21.8,1,0,0,0.9,0.9,0.05,-0.9,-0.9
524,Luis Suárez\Luis-Suarez,uy URU,FW,Atlético Madrid,33,1987,27.9,21,98,41,41.8,3.52,1.47,0.18,0.44,16.3,7,3,3,15.6,13.3,0.14,+5.4,+4.7
525,Suso\Suso,es ESP,FW,Sevilla,26,1993,24.6,3,48,17,35.4,1.95,0.69,0.06,0.18,22.9,2,0,0,2.1,2.1,0.04,+0.9,+0.9
526,Tachi\Tachi,es ESP,DF,Alavés,22,1997,9.4,0,3,0,0.0,0.32,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
527,Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,25,1995,30.0,0,18,5,27.8,0.60,0.17,0.00,0.00,19.0,0,0,0,0.9,0.9,0.05,-0.9,-0.9
528,Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,19,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
529,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,24,1996,1.2,0,2,1,50.0,1.64,0.82,0.00,0.00,26.7,0,0,0,0.0,0.0,0.02,0.0,0.0
530,Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,28,1991,14.3,5,35,14,40.0,2.46,0.98,0.14,0.36,20.4,1,0,0,2.3,2.3,0.06,+2.7,+2.7
531,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,28,1992,31.0,0,1,0,0.0,0.03,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
532,David Timor\David-Timor,es ESP,MFDF,Getafe,30,1989,15.5,0,18,5,27.8,1.16,0.32,0.00,0.00,33.3,9,0,0,0.5,0.5,0.03,-0.5,-0.5
533,Toño\Tono,es ESP,DF,Levante,30,1989,8.1,0,2,0,0.0,0.25,0.00,0.00,,26.8,0,0,0,0.0,0.0,0.02,0.0,0.0
